10-04-2024 19:37:15 RAM 11205/30587MB (lfb 677x4MB) SWAP 0/15294MB (cached 0MB) CPU [14%@2201,30%@2201,100%@2201,8%@2201,0%@729,0%@729,14%@729,0%@729,61%@2201,0%@729,0%@729,7%@729] EMC_FREQ 15%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@54.156C Tboard@41C SOC2@49.687C Tdiode@43C SOC0@50.062C CV1@-256C GPU@50.437C tj@54.156C SOC1@49.281C CV2@-256C VDD_GPU_SOC 7971mW/7971mW VDD_CPU_CV 4382mW/4382mW VIN_SYS_5V0 4954mW/4954mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1615mW/1615mW NC 0mW/0mW
10-04-2024 19:37:15 RAM 11906/30587MB (lfb 677x4MB) SWAP 0/15294MB (cached 0MB) CPU [8%@729,0%@729,38%@729,41%@729,58%@2201,0%@2201,0%@2201,0%@2201,58%@2201,14%@2201,8%@2201,8%@2201] EMC_FREQ 14%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@54.562C Tboard@41C SOC2@49.781C Tdiode@43C SOC0@50C CV1@-256C GPU@50.375C tj@54.562C SOC1@49.375C CV2@-256C VDD_GPU_SOC 7174mW/7572mW VDD_CPU_CV 4382mW/4382mW VIN_SYS_5V0 4752mW/4853mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1514mW/1564mW NC 0mW/0mW
10-04-2024 19:37:15 RAM 12615/30587MB (lfb 677x4MB) SWAP 0/15294MB (cached 0MB) CPU [7%@729,16%@729,0%@729,0%@729,100%@2201,0%@2201,0%@2201,7%@2056,100%@2201,0%@2201,0%@2201,0%@2201] EMC_FREQ 13%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@54.906C Tboard@41C SOC2@49.625C Tdiode@42.75C SOC0@50.031C CV1@-256C GPU@50.156C tj@54.906C SOC1@49.25C CV2@-256C VDD_GPU_SOC 6775mW/7306mW VDD_CPU_CV 3984mW/4249mW VIN_SYS_5V0 4651mW/4785mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1413mW/1514mW NC 0mW/0mW
10-04-2024 19:37:15 RAM 13323/30587MB (lfb 677x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@1267,7%@1267,7%@2201,0%@2201,100%@2201,0%@2201,0%@2201,0%@2201,100%@2201,0%@2201,0%@2201,7%@2201] EMC_FREQ 12%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@54.625C Tboard@41C SOC2@49.593C Tdiode@42.75C SOC0@49.937C CV1@-256C GPU@49.937C tj@54.625C SOC1@49.312C CV2@-256C VDD_GPU_SOC 6374mW/7073mW VDD_CPU_CV 3982mW/4182mW VIN_SYS_5V0 4550mW/4726mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1413mW/1488mW NC 0mW/0mW
10-04-2024 19:37:15 RAM 13904/30587MB (lfb 677x4MB) SWAP 0/15294MB (cached 0MB) CPU [8%@729,0%@729,0%@729,0%@729,100%@2201,0%@2201,0%@2201,0%@2201,100%@2201,0%@2201,7%@2201,7%@2201] EMC_FREQ 11%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@54.812C Tboard@41C SOC2@49.562C Tdiode@42.75C SOC0@50.062C CV1@-256C GPU@50.031C tj@54.812C SOC1@49.312C CV2@-256C VDD_GPU_SOC 5976mW/6854mW VDD_CPU_CV 3982mW/4142mW VIN_SYS_5V0 4550mW/4691mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1312mW/1453mW NC 0mW/0mW
10-04-2024 19:37:16 RAM 13906/30587MB (lfb 677x4MB) SWAP 0/15294MB (cached 0MB) CPU [50%@2201,0%@2201,0%@2201,0%@2201,100%@2201,0%@2201,0%@2201,7%@2201,100%@2201,7%@2201,0%@2201,7%@2201] EMC_FREQ 10%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@54.968C Tboard@41C SOC2@49.531C Tdiode@42.75C SOC0@50.031C CV1@-256C GPU@50.281C tj@54.968C SOC1@49.281C CV2@-256C VDD_GPU_SOC 5577mW/6641mW VDD_CPU_CV 3982mW/4115mW VIN_SYS_5V0 4449mW/4651mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1312mW/1429mW NC 0mW/0mW
10-04-2024 19:37:16 RAM 13912/30587MB (lfb 677x4MB) SWAP 0/15294MB (cached 0MB) CPU [8%@729,0%@729,0%@729,7%@730,100%@2201,0%@2201,0%@2201,0%@2201,100%@2201,0%@2201,7%@2201,7%@2201] EMC_FREQ 9%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@54.625C Tboard@41C SOC2@49.406C Tdiode@42.75C SOC0@49.906C CV1@-256C GPU@50.375C tj@54.625C SOC1@49.375C CV2@-256C VDD_GPU_SOC 5577mW/6489mW VDD_CPU_CV 4380mW/4153mW VIN_SYS_5V0 4449mW/4622mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1312mW/1413mW NC 0mW/0mW
10-04-2024 19:37:16 RAM 13913/30587MB (lfb 677x4MB) SWAP 0/15294MB (cached 0MB) CPU [7%@729,14%@729,0%@729,0%@729,100%@2201,0%@2201,7%@2201,0%@2201,100%@2201,7%@2201,7%@2201,0%@2201] EMC_FREQ 9%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@54.875C Tboard@41C SOC2@49.468C Tdiode@42.75C SOC0@50.031C CV1@-256C GPU@50C tj@54.875C SOC1@49.218C CV2@-256C VDD_GPU_SOC 5577mW/6375mW VDD_CPU_CV 3982mW/4132mW VIN_SYS_5V0 4550mW/4613mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1413mW/1413mW NC 0mW/0mW
10-04-2024 19:37:16 RAM 13913/30587MB (lfb 677x4MB) SWAP 0/15294MB (cached 0MB) CPU [7%@729,0%@729,0%@729,0%@729,100%@2201,0%@2201,0%@2201,0%@2201,100%@2201,7%@2201,0%@2201,14%@2201] EMC_FREQ 8%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@54.562C Tboard@41C SOC2@49.375C Tdiode@42.5C SOC0@49.812C CV1@-256C GPU@50.218C tj@54.562C SOC1@49.406C CV2@-256C VDD_GPU_SOC 5577mW/6286mW VDD_CPU_CV 3982mW/4115mW VIN_SYS_5V0 4550mW/4606mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1413mW/1413mW NC 0mW/0mW
10-04-2024 19:37:16 RAM 13914/30587MB (lfb 677x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,100%@2201,0%@2201,0%@2201,0%@2201,100%@2201,0%@2201,0%@2201,8%@2201] EMC_FREQ 8%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@54.906C Tboard@41C SOC2@49.343C Tdiode@42.5C SOC0@50.031C CV1@-256C GPU@49.875C tj@54.906C SOC1@49.218C CV2@-256C VDD_GPU_SOC 5179mW/6175mW VDD_CPU_CV 3982mW/4102mW VIN_SYS_5V0 4651mW/4610mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1413mW/1413mW NC 0mW/0mW
10-04-2024 19:37:16 RAM 13916/30587MB (lfb 677x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,100%@2201,0%@2201,0%@2201,0%@2201,100%@2201,0%@2201,0%@2201,14%@2201] EMC_FREQ 7%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@54.406C Tboard@41C SOC2@49.312C Tdiode@42.5C SOC0@49.781C CV1@-256C GPU@49.75C tj@54.406C SOC1@49.125C CV2@-256C VDD_GPU_SOC 5179mW/6085mW VDD_CPU_CV 3982mW/4091mW VIN_SYS_5V0 4651mW/4614mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1413mW/1413mW NC 0mW/0mW
10-04-2024 19:37:16 RAM 13918/30587MB (lfb 677x4MB) SWAP 0/15294MB (cached 0MB) CPU [8%@1344,7%@1113,0%@1113,16%@1113,100%@2201,0%@2201,0%@2201,0%@2201,100%@2201,7%@2201,0%@2201,0%@2201] EMC_FREQ 7%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@54.375C Tboard@41C SOC2@49.375C Tdiode@42.5C SOC0@49.906C CV1@-256C GPU@49.781C tj@54.375C SOC1@49.187C CV2@-256C VDD_GPU_SOC 5179mW/6009mW VDD_CPU_CV 3982mW/4082mW VIN_SYS_5V0 4651mW/4617mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1514mW/1421mW NC 0mW/0mW
10-04-2024 19:37:16 RAM 13918/30587MB (lfb 677x4MB) SWAP 0/15294MB (cached 0MB) CPU [7%@729,0%@729,7%@729,0%@729,100%@2201,0%@2201,0%@2201,0%@2201,100%@2201,0%@2201,0%@2201,0%@2201] EMC_FREQ 7%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@54.468C Tboard@41C SOC2@49.312C Tdiode@42.75C SOC0@49.812C CV1@-256C GPU@49.937C tj@54.468C SOC1@49.187C CV2@-256C VDD_GPU_SOC 5179mW/5945mW VDD_CPU_CV 3982mW/4074mW VIN_SYS_5V0 4651mW/4619mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1514mW/1428mW NC 0mW/0mW
10-04-2024 19:37:17 RAM 13926/30587MB (lfb 677x4MB) SWAP 0/15294MB (cached 0MB) CPU [28%@2201,35%@2201,26%@2201,21%@2201,100%@2201,26%@2201,26%@2201,26%@2201,60%@2201,28%@2023,28%@2201,26%@2201] EMC_FREQ 8%@3199 GR3D_FREQ 85%@1300 GR3D2_FREQ 85%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@56.031C Tboard@41C SOC2@49.781C Tdiode@42.75C SOC0@50.093C CV1@-256C GPU@52.343C tj@56.031C SOC1@49.093C CV2@-256C VDD_GPU_SOC 8754mW/6146mW VDD_CPU_CV 4773mW/4124mW VIN_SYS_5V0 5864mW/4708mW NC 0mW/0mW VDDQ_VDD2_1V8AO 2322mW/1492mW NC 0mW/0mW
10-04-2024 19:37:17 RAM 13926/30587MB (lfb 677x4MB) SWAP 0/15294MB (cached 0MB) CPU [100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201] EMC_FREQ 15%@3199 GR3D_FREQ 99%@1287 GR3D2_FREQ 99%@1286 VIC_FREQ 729 APE 174 CV0@-256C CPU@58.375C Tboard@41C SOC2@50.593C Tdiode@43.5C SOC0@50.25C CV1@-256C GPU@54.437C tj@58.656C SOC1@49.343C CV2@-256C VDD_GPU_SOC 14313mW/6690mW VDD_CPU_CV 9141mW/4458mW VIN_SYS_5V0 8203mW/4941mW NC 0mW/0mW VDDQ_VDD2_1V8AO 4038mW/1662mW NC 0mW/0mW
10-04-2024 19:37:17 RAM 13926/30587MB (lfb 677x4MB) SWAP 0/15294MB (cached 0MB) CPU [100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201] EMC_FREQ 22%@3199 GR3D_FREQ 99%@1300 GR3D2_FREQ 99%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@59.312C Tboard@41C SOC2@51.187C Tdiode@43.5C SOC0@50.625C CV1@-256C GPU@54.875C tj@59.312C SOC1@49.281C CV2@-256C VDD_GPU_SOC 18694mW/7440mW VDD_CPU_CV 12325mW/4950mW VIN_SYS_5V0 9925mW/5253mW NC 0mW/0mW VDDQ_VDD2_1V8AO 5249mW/1886mW NC 0mW/0mW
10-04-2024 19:37:17 RAM 13926/30587MB (lfb 677x4MB) SWAP 0/15294MB (cached 0MB) CPU [100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201] EMC_FREQ 27%@3199 GR3D_FREQ 99%@1296 GR3D2_FREQ 99%@1296 VIC_FREQ 729 APE 174 CV0@-256C CPU@59.937C Tboard@41C SOC2@51.406C Tdiode@44C SOC0@50.562C CV1@-256C GPU@55.062C tj@59.937C SOC1@49.281C CV2@-256C VDD_GPU_SOC 21885mW/8290mW VDD_CPU_CV 14717mW/5524mW VIN_SYS_5V0 11158mW/5600mW NC 0mW/0mW VDDQ_VDD2_1V8AO 6158mW/2137mW NC 0mW/0mW
10-04-2024 19:37:17 RAM 13926/30587MB (lfb 677x4MB) SWAP 0/15294MB (cached 0MB) CPU [100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2018,100%@2201] EMC_FREQ 33%@3199 GR3D_FREQ 99%@1296 GR3D2_FREQ 99%@1297 VIC_FREQ 729 APE 174 CV0@-256C CPU@59.968C Tboard@41C SOC2@51.718C Tdiode@44C SOC0@50.562C CV1@-256C GPU@55.375C tj@59.968C SOC1@49.468C CV2@-256C VDD_GPU_SOC 24282mW/9179mW VDD_CPU_CV 16314mW/6124mW VIN_SYS_5V0 12071mW/5960mW NC 0mW/0mW VDDQ_VDD2_1V8AO 6865mW/2400mW NC 0mW/0mW
10-04-2024 19:37:17 RAM 13925/30587MB (lfb 677x4MB) SWAP 0/15294MB (cached 0MB) CPU [100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201] EMC_FREQ 38%@3199 GR3D_FREQ 99%@1296 GR3D2_FREQ 99%@1296 VIC_FREQ 729 APE 174 CV0@-256C CPU@60.593C Tboard@41C SOC2@51.718C Tdiode@44.25C SOC0@50.781C CV1@-256C GPU@55.437C tj@60.593C SOC1@49.406C CV2@-256C VDD_GPU_SOC 25875mW/10057mW VDD_CPU_CV 17508mW/6723mW VIN_SYS_5V0 12781mW/6319mW NC 0mW/0mW VDDQ_VDD2_1V8AO 7370mW/2661mW NC 0mW/0mW
10-04-2024 19:37:17 RAM 13925/30587MB (lfb 677x4MB) SWAP 0/15294MB (cached 0MB) CPU [100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201] EMC_FREQ 42%@3199 GR3D_FREQ 99%@1297 GR3D2_FREQ 99%@1296 VIC_FREQ 729 APE 174 CV0@-256C CPU@60.687C Tboard@41C SOC2@52.031C Tdiode@44.25C SOC0@51.031C CV1@-256C GPU@56.156C tj@60.687C SOC1@49.562C CV2@-256C VDD_GPU_SOC 27080mW/10908mW VDD_CPU_CV 18311mW/7302mW VIN_SYS_5V0 13288mW/6667mW NC 0mW/0mW VDDQ_VDD2_1V8AO 7773mW/2917mW NC 0mW/0mW
