10-04-2024 19:38:31 RAM 11017/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,0%@2201,100%@2201,0%@2201,8%@729,0%@729,7%@729,0%@729,92%@2201,0%@2201,0%@2201,0%@2201] EMC_FREQ 14%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@58.625C Tboard@45C SOC2@54.75C Tdiode@48C SOC0@55.062C CV1@-256C GPU@55.812C tj@58.625C SOC1@54.125C CV2@-256C VDD_GPU_SOC 12753mW/12753mW VDD_CPU_CV 3187mW/3187mW VIN_SYS_5V0 5056mW/5056mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1615mW/1615mW NC 0mW/0mW
10-04-2024 19:38:31 RAM 11706/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,0%@2201,100%@2201,0%@2201,100%@2201,0%@2201,0%@2201,7%@2201,27%@2353,7%@2201,7%@2201,15%@2201] EMC_FREQ 13%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@59.656C Tboard@45C SOC2@54.718C Tdiode@47.5C SOC0@54.906C CV1@-256C GPU@55.625C tj@59.656C SOC1@53.937C CV2@-256C VDD_GPU_SOC 10761mW/11757mW VDD_CPU_CV 3187mW/3187mW VIN_SYS_5V0 4853mW/4954mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1514mW/1564mW NC 0mW/0mW
10-04-2024 19:38:31 RAM 12404/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [14%@2201,0%@2201,100%@2201,0%@2201,100%@2201,0%@2201,7%@2201,0%@2201,7%@1267,0%@729,7%@729,0%@729] EMC_FREQ 12%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@59.531C Tboard@45C SOC2@54.656C Tdiode@47.5C SOC0@54.937C CV1@-256C GPU@55.25C tj@59.218C SOC1@53.968C CV2@-256C VDD_GPU_SOC 9565mW/11026mW VDD_CPU_CV 3585mW/3319mW VIN_SYS_5V0 4752mW/4887mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1413mW/1514mW NC 0mW/0mW
10-04-2024 19:38:31 RAM 13110/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,0%@2063,100%@2201,7%@2201,100%@2201,0%@2201,0%@2201,0%@2201,0%@729,0%@729,8%@729,0%@729] EMC_FREQ 11%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@59.156C Tboard@45C SOC2@54.5C Tdiode@47.25C SOC0@54.75C CV1@-256C GPU@55.593C tj@59.593C SOC1@53.875C CV2@-256C VDD_GPU_SOC 8366mW/10361mW VDD_CPU_CV 3584mW/3385mW VIN_SYS_5V0 4752mW/4853mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1413mW/1488mW NC 0mW/0mW
10-04-2024 19:38:31 RAM 13821/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,0%@2201,100%@2201,0%@2201,100%@2201,0%@2201,0%@2201,0%@2201,0%@729,0%@729,15%@729,0%@729] EMC_FREQ 11%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@59.5C Tboard@45C SOC2@54.593C Tdiode@47.25C SOC0@54.562C CV1@-256C GPU@54.937C tj@59.187C SOC1@54C CV2@-256C VDD_GPU_SOC 7569mW/9802mW VDD_CPU_CV 3584mW/3425mW VIN_SYS_5V0 4651mW/4812mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1413mW/1473mW NC 0mW/0mW
10-04-2024 19:38:31 RAM 13944/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [7%@2201,0%@2201,100%@2201,0%@2075,100%@2201,0%@2201,0%@2201,0%@2201,7%@729,0%@729,0%@729,7%@729] EMC_FREQ 10%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@59.312C Tboard@45C SOC2@54.468C Tdiode@47.25C SOC0@54.687C CV1@-256C GPU@55.375C tj@59.656C SOC1@53.875C CV2@-256C VDD_GPU_SOC 6772mW/9297mW VDD_CPU_CV 3584mW/3451mW VIN_SYS_5V0 4550mW/4769mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1312mW/1446mW NC 0mW/0mW
10-04-2024 19:38:31 RAM 13950/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [7%@2201,0%@2201,100%@2201,7%@2201,100%@2201,0%@2201,0%@2201,0%@2201,7%@2201,7%@2201,8%@2201,21%@1728] EMC_FREQ 9%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@59C Tboard@45C SOC2@54.5C Tdiode@47.25C SOC0@54.468C CV1@-256C GPU@55.468C tj@59C SOC1@53.968C CV2@-256C VDD_GPU_SOC 6374mW/8880mW VDD_CPU_CV 3982mW/3527mW VIN_SYS_5V0 4550mW/4737mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1312mW/1427mW NC 0mW/0mW
10-04-2024 19:38:31 RAM 13951/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [7%@2201,0%@2201,100%@2201,7%@2201,100%@2201,0%@2201,7%@2201,0%@2201,0%@729,0%@729,7%@729,0%@729] EMC_FREQ 8%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@59.062C Tboard@45C SOC2@54.312C Tdiode@47C SOC0@54.562C CV1@-256C GPU@55.062C tj@59.062C SOC1@53.812C CV2@-256C VDD_GPU_SOC 5976mW/8517mW VDD_CPU_CV 3982mW/3584mW VIN_SYS_5V0 4550mW/4714mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1312mW/1413mW NC 0mW/0mW
10-04-2024 19:38:31 RAM 13952/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,0%@2201,100%@2201,0%@2201,100%@2201,0%@2201,0%@2201,0%@2201,0%@729,0%@729,8%@729,0%@729] EMC_FREQ 8%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@58.906C Tboard@45C SOC2@54.25C Tdiode@47C SOC0@54.656C CV1@-256C GPU@54.875C tj@58.906C SOC1@53.875C CV2@-256C VDD_GPU_SOC 5976mW/8234mW VDD_CPU_CV 3982mW/3628mW VIN_SYS_5V0 4651mW/4707mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1413mW/1413mW NC 0mW/0mW
10-04-2024 19:38:32 RAM 13953/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [7%@2201,0%@2201,100%@2201,7%@2201,100%@2201,0%@2201,0%@2201,7%@2201,30%@2201,16%@2201,8%@2035,0%@2035] EMC_FREQ 7%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@59.125C Tboard@45C SOC2@54.25C Tdiode@47.25C SOC0@54.468C CV1@-256C GPU@54.718C tj@59.125C SOC1@53.75C CV2@-256C VDD_GPU_SOC 5577mW/7968mW VDD_CPU_CV 3982mW/3663mW VIN_SYS_5V0 4651mW/4701mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1413mW/1413mW NC 0mW/0mW
10-04-2024 19:38:32 RAM 13954/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,0%@2201,100%@2201,0%@2201,100%@2201,0%@2201,0%@2201,0%@2201,7%@729,0%@729,0%@729,0%@729] EMC_FREQ 7%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@58.843C Tboard@45C SOC2@54.25C Tdiode@47.25C SOC0@54.5C CV1@-256C GPU@55.093C tj@58.843C SOC1@53.906C CV2@-256C VDD_GPU_SOC 5577mW/7751mW VDD_CPU_CV 3982mW/3692mW VIN_SYS_5V0 4651mW/4697mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1415mW/1413mW NC 0mW/0mW
