10-04-2024 19:37:53 RAM 13951/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,100%@2201,0%@2201,7%@2201,0%@729,7%@729,0%@729,0%@729,100%@2201,0%@2201,0%@2201,0%@2201] EMC_FREQ 16%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@56.906C Tboard@43C SOC2@52.343C Tdiode@45.25C SOC0@52.781C CV1@-256C GPU@53.156C tj@56.906C SOC1@51.937C CV2@-256C VDD_GPU_SOC 5179mW/6507mW VDD_CPU_CV 3982mW/4214mW VIN_SYS_5V0 4752mW/4929mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1514mW/1640mW NC 0mW/0mW
10-04-2024 19:37:53 RAM 13953/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,100%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,7%@729,100%@2201,0%@2201,0%@2201,0%@2201] EMC_FREQ 14%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@56.75C Tboard@43C SOC2@52.312C Tdiode@45.25C SOC0@52.593C CV1@-256C GPU@53.25C tj@56.906C SOC1@52.187C CV2@-256C VDD_GPU_SOC 5179mW/6405mW VDD_CPU_CV 3982mW/4197mW VIN_SYS_5V0 4752mW/4915mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1514mW/1630mW NC 0mW/0mW
10-04-2024 19:37:53 RAM 13960/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [28%@2201,57%@2201,33%@2201,28%@2201,35%@2201,30%@2201,33%@2201,33%@2201,100%@2201,26%@2201,7%@2201,28%@2201] EMC_FREQ 15%@3199 GR3D_FREQ 94%@1297 GR3D2_FREQ 94%@1297 VIC_FREQ 729 APE 174 CV0@-256C CPU@59.062C Tboard@43C SOC2@52.906C Tdiode@45.5C SOC0@53C CV1@-256C GPU@55.843C tj@59.062C SOC1@52C CV2@-256C VDD_GPU_SOC 8754mW/6573mW VDD_CPU_CV 4773mW/4238mW VIN_SYS_5V0 5975mW/4991mW NC 0mW/0mW VDDQ_VDD2_1V8AO 2423mW/1687mW NC 0mW/0mW
10-04-2024 19:37:53 RAM 13960/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201] EMC_FREQ 22%@3199 GR3D_FREQ 99%@1297 GR3D2_FREQ 99%@1297 VIC_FREQ 729 APE 174 CV0@-256C CPU@61.687C Tboard@43C SOC2@53.687C Tdiode@45.5C SOC0@53.093C CV1@-256C GPU@57.156C tj@61.687C SOC1@51.937C CV2@-256C VDD_GPU_SOC 14313mW/7089mW VDD_CPU_CV 8743mW/4538mW VIN_SYS_5V0 8203mW/5205mW NC 0mW/0mW VDDQ_VDD2_1V8AO 4038mW/1843mW NC 0mW/0mW
10-04-2024 19:37:54 RAM 13960/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [100%@2201,100%@2201,100%@2201,100%@2415,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201] EMC_FREQ 27%@3199 GR3D_FREQ 99%@1297 GR3D2_FREQ 99%@1297 VIC_FREQ 729 APE 174 CV0@-256C CPU@61.968C Tboard@43C SOC2@54.031C Tdiode@46.25C SOC0@53.25C CV1@-256C GPU@58C tj@61.968C SOC1@52.281C CV2@-256C VDD_GPU_SOC 18694mW/7814mW VDD_CPU_CV 11530mW/4975mW VIN_SYS_5V0 9925mW/5500mW NC 0mW/0mW VDDQ_VDD2_1V8AO 5249mW/2056mW NC 0mW/0mW
10-04-2024 19:37:54 RAM 13961/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201] EMC_FREQ 33%@3199 GR3D_FREQ 99%@1297 GR3D2_FREQ 99%@1297 VIC_FREQ 729 APE 174 CV0@-256C CPU@62.968C Tboard@43C SOC2@54.437C Tdiode@46.25C SOC0@53.468C CV1@-256C GPU@57.937C tj@62.656C SOC1@52.062C CV2@-256C VDD_GPU_SOC 21885mW/8642mW VDD_CPU_CV 13921mW/5501mW VIN_SYS_5V0 11140mW/5831mW NC 0mW/0mW VDDQ_VDD2_1V8AO 6158mW/2297mW NC 0mW/0mW
10-04-2024 19:37:54 RAM 13961/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2406,100%@2201] EMC_FREQ 38%@3199 GR3D_FREQ 99%@1297 GR3D2_FREQ 99%@1297 VIC_FREQ 729 APE 174 CV0@-256C CPU@63.187C Tboard@43C SOC2@54.656C Tdiode@46.75C SOC0@53.5C CV1@-256C GPU@58.375C tj@63.187C SOC1@52.187C CV2@-256C VDD_GPU_SOC 24282mW/9511mW VDD_CPU_CV 15916mW/6080mW VIN_SYS_5V0 12071mW/6178mW NC 0mW/0mW VDDQ_VDD2_1V8AO 6865mW/2551mW NC 0mW/0mW
10-04-2024 19:37:54 RAM 13960/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201] EMC_FREQ 42%@3199 GR3D_FREQ 99%@1297 GR3D2_FREQ 99%@1297 VIC_FREQ 729 APE 174 CV0@-256C CPU@63.062C Tboard@43C SOC2@54.687C Tdiode@46.75C SOC0@53.437C CV1@-256C GPU@58.437C tj@63.062C SOC1@52.312C CV2@-256C VDD_GPU_SOC 25875mW/10372mW VDD_CPU_CV 16719mW/6640mW VIN_SYS_5V0 12781mW/6526mW NC 0mW/0mW VDDQ_VDD2_1V8AO 7370mW/2805mW NC 0mW/0mW
10-04-2024 19:37:54 RAM 13960/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201] EMC_FREQ 46%@3199 GR3D_FREQ 99%@1297 GR3D2_FREQ 99%@1297 VIC_FREQ 729 APE 174 CV0@-256C CPU@63.593C Tboard@43C SOC2@54.843C Tdiode@47C SOC0@53.687C CV1@-256C GPU@58.718C tj@63.593C SOC1@52.25C CV2@-256C VDD_GPU_SOC 27080mW/11207mW VDD_CPU_CV 17515mW/7183mW VIN_SYS_5V0 13288mW/6864mW NC 0mW/0mW VDDQ_VDD2_1V8AO 7773mW/3053mW NC 0mW/0mW
10-04-2024 19:37:54 RAM 13960/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2029,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201] EMC_FREQ 50%@3199 GR3D_FREQ 99%@1297 GR3D2_FREQ 99%@1297 VIC_FREQ 729 APE 174 CV0@-256C CPU@63.406C Tboard@43C SOC2@54.937C Tdiode@47C SOC0@53.625C CV1@-256C GPU@58.75C tj@63.406C SOC1@52.406C CV2@-256C VDD_GPU_SOC 27876mW/12001mW VDD_CPU_CV 18319mW/7714mW VIN_SYS_5V0 13694mW/7189mW NC 0mW/0mW VDDQ_VDD2_1V8AO 8076mW/3292mW NC 0mW/0mW
