10-04-2024 19:38:08 RAM 11077/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [14%@952,7%@729,0%@729,7%@729,25%@2201,0%@2201,100%@2201,7%@2201,76%@2201,7%@2201,7%@2201,0%@2201] EMC_FREQ 41%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@58.718C Tboard@44C SOC2@53.812C Tdiode@46.75C SOC0@53.906C CV1@-256C GPU@54.781C tj@58.718C SOC1@53.062C CV2@-256C VDD_GPU_SOC 9565mW/9565mW VDD_CPU_CV 5179mW/5179mW VIN_SYS_5V0 5864mW/5864mW NC 0mW/0mW VDDQ_VDD2_1V8AO 2322mW/2322mW NC 0mW/0mW
10-04-2024 19:38:08 RAM 11793/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@729,0%@729,21%@729,0%@729,0%@2201,0%@2201,100%@2201,0%@2201,100%@2201,8%@2201,0%@2201,0%@2201] EMC_FREQ 37%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@58.25C Tboard@44C SOC2@53.718C Tdiode@46.75C SOC0@53.75C CV1@-256C GPU@54.687C tj@58.5C SOC1@52.968C CV2@-256C VDD_GPU_SOC 8369mW/8967mW VDD_CPU_CV 4780mW/4979mW VIN_SYS_5V0 5460mW/5662mW NC 0mW/0mW VDDQ_VDD2_1V8AO 2019mW/2170mW NC 0mW/0mW
10-04-2024 19:38:08 RAM 12531/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@729,18%@729,0%@729,0%@729,7%@2201,0%@2201,100%@2201,0%@2201,100%@2201,0%@2201,0%@2201,0%@2201] EMC_FREQ 34%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@58.125C Tboard@44C SOC2@53.687C Tdiode@46.25C SOC0@53.687C CV1@-256C GPU@54.593C tj@58.125C SOC1@53.187C CV2@-256C VDD_GPU_SOC 7569mW/8501mW VDD_CPU_CV 4380mW/4779mW VIN_SYS_5V0 5258mW/5527mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1817mW/2052mW NC 0mW/0mW
10-04-2024 19:38:08 RAM 13260/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [7%@729,0%@729,0%@729,7%@729,0%@2201,0%@2201,100%@2201,0%@2201,100%@2201,0%@2201,0%@2201,0%@2201] EMC_FREQ 31%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@58.375C Tboard@44C SOC2@53.562C Tdiode@46.25C SOC0@53.781C CV1@-256C GPU@54.656C tj@58.375C SOC1@52.968C CV2@-256C VDD_GPU_SOC 7171mW/8168mW VDD_CPU_CV 4380mW/4679mW VIN_SYS_5V0 4954mW/5384mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1716mW/1968mW NC 0mW/0mW
10-04-2024 19:38:08 RAM 13944/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [14%@729,0%@729,7%@729,0%@729,0%@2201,0%@2201,100%@2201,0%@2201,100%@2201,0%@2201,0%@2201,0%@2201] EMC_FREQ 29%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@58.031C Tboard@44C SOC2@53.5C Tdiode@46.25C SOC0@53.718C CV1@-256C GPU@54.656C tj@58.312C SOC1@52.906C CV2@-256C VDD_GPU_SOC 6374mW/7809mW VDD_CPU_CV 3982mW/4540mW VIN_SYS_5V0 4853mW/5277mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1615mW/1897mW NC 0mW/0mW
10-04-2024 19:38:08 RAM 13946/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@729,0%@729,14%@729,7%@729,0%@2201,0%@2201,100%@2201,7%@2201,100%@2201,0%@2201,0%@2201,0%@2201] EMC_FREQ 26%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@57.875C Tboard@44C SOC2@53.437C Tdiode@46.25C SOC0@53.656C CV1@-256C GPU@53.968C tj@57.875C SOC1@53.062C CV2@-256C VDD_GPU_SOC 5976mW/7504mW VDD_CPU_CV 3982mW/4447mW VIN_SYS_5V0 4651mW/5173mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1413mW/1817mW NC 0mW/0mW
10-04-2024 19:38:08 RAM 13952/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [15%@729,0%@1571,0%@2201,0%@2201,0%@2201,0%@2201,100%@2201,0%@2201,100%@2201,0%@2201,0%@2201,0%@2201] EMC_FREQ 24%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@57.593C Tboard@44C SOC2@53.375C Tdiode@46.25C SOC0@53.687C CV1@-256C GPU@54.125C tj@57.593C SOC1@52.906C CV2@-256C VDD_GPU_SOC 5976mW/7285mW VDD_CPU_CV 3982mW/4380mW VIN_SYS_5V0 4651mW/5098mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1413mW/1759mW NC 0mW/0mW
10-04-2024 19:38:08 RAM 13952/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [14%@729,0%@729,8%@729,0%@729,0%@2201,0%@2201,100%@2201,0%@2201,100%@2201,0%@2201,0%@2201,0%@2201] EMC_FREQ 22%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@57.781C Tboard@44C SOC2@53.25C Tdiode@46.25C SOC0@53.531C CV1@-256C GPU@53.937C tj@57.781C SOC1@53.062C CV2@-256C VDD_GPU_SOC 5577mW/7072mW VDD_CPU_CV 3982mW/4330mW VIN_SYS_5V0 4651mW/5042mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1413mW/1716mW NC 0mW/0mW
10-04-2024 19:38:09 RAM 13955/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@729,21%@729,7%@729,0%@729,0%@2201,14%@2201,100%@2201,7%@2201,92%@2201,0%@2201,0%@2201,0%@2201] EMC_FREQ 20%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@57.656C Tboard@44C SOC2@53.375C Tdiode@46.25C SOC0@53.531C CV1@-256C GPU@54.25C tj@57.937C SOC1@53C CV2@-256C VDD_GPU_SOC 5577mW/6906mW VDD_CPU_CV 3982mW/4292mW VIN_SYS_5V0 4651mW/4999mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1514mW/1693mW NC 0mW/0mW
10-04-2024 19:38:09 RAM 13953/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [14%@883,16%@883,0%@883,0%@883,7%@2201,100%@2201,100%@2201,7%@2201,0%@729,8%@729,0%@729,0%@729] EMC_FREQ 18%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@54.875C CPU@57.937C Tboard@44C SOC2@53.281C Tdiode@46.25C SOC0@53.656C CV1@-256C GPU@54.031C tj@57.937C SOC1@52.937C CV2@-256C VDD_GPU_SOC 5577mW/6773mW VDD_CPU_CV 3982mW/4261mW VIN_SYS_5V0 4752mW/4974mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1514mW/1675mW NC 0mW/0mW
10-04-2024 19:38:09 RAM 13954/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@729,0%@729,7%@729,0%@729,0%@2201,23%@2201,100%@2201,7%@2201,83%@2201,0%@2201,0%@2201,0%@2201] EMC_FREQ 17%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@57.468C Tboard@44C SOC2@53.187C Tdiode@46C SOC0@53.656C CV1@-256C GPU@53.906C tj@57.468C SOC1@52.843C CV2@-256C VDD_GPU_SOC 5179mW/6628mW VDD_CPU_CV 3982mW/4235mW VIN_SYS_5V0 4752mW/4954mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1514mW/1660mW NC 0mW/0mW
