10-04-2024 19:37:36 RAM 10974/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [15%@2201,100%@2201,100%@2201,0%@2201,0%@1344,0%@1344,14%@1344,50%@1344,14%@2201,0%@2201,0%@2201,100%@2201] EMC_FREQ 40%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@57.25C Tboard@42C SOC2@51.906C Tdiode@45C SOC0@52.125C CV1@-256C GPU@53.031C tj@57.25C SOC1@51.281C CV2@-256C VDD_GPU_SOC 9565mW/9565mW VDD_CPU_CV 5976mW/5976mW VIN_SYS_5V0 5864mW/5864mW NC 0mW/0mW VDDQ_VDD2_1V8AO 2322mW/2322mW NC 0mW/0mW
10-04-2024 19:37:36 RAM 11649/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,84%@2201,100%@2201,0%@2201,15%@2201,0%@2201,0%@2201,7%@2201,0%@2201,7%@2371,0%@2201,100%@2201] EMC_FREQ 37%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@56.937C Tboard@42C SOC2@51.843C Tdiode@45C SOC0@51.968C CV1@-256C GPU@53.25C tj@56.937C SOC1@51.406C CV2@-256C VDD_GPU_SOC 8369mW/8967mW VDD_CPU_CV 5577mW/5776mW VIN_SYS_5V0 5561mW/5712mW NC 0mW/0mW VDDQ_VDD2_1V8AO 2019mW/2170mW NC 0mW/0mW
10-04-2024 19:37:36 RAM 12349/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [7%@2201,0%@2201,100%@2201,15%@2201,100%@2201,0%@2012,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,100%@2201] EMC_FREQ 34%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@56.906C Tboard@42C SOC2@51.75C Tdiode@45C SOC0@52.062C CV1@-256C GPU@53C tj@56.906C SOC1@51.156C CV2@-256C VDD_GPU_SOC 7572mW/8502mW VDD_CPU_CV 5179mW/5577mW VIN_SYS_5V0 5258mW/5561mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1817mW/2052mW NC 0mW/0mW
10-04-2024 19:37:36 RAM 13066/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [7%@2201,0%@2201,100%@2201,0%@2201,100%@2201,0%@2201,0%@2201,0%@2201,20%@2201,0%@2201,8%@2201,100%@2201] EMC_FREQ 31%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@57.125C Tboard@42C SOC2@51.687C Tdiode@44.75C SOC0@51.875C CV1@-256C GPU@52.937C tj@57.125C SOC1@51.437C CV2@-256C VDD_GPU_SOC 7174mW/8170mW VDD_CPU_CV 5179mW/5477mW VIN_SYS_5V0 5056mW/5434mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1716mW/1968mW NC 0mW/0mW
10-04-2024 19:37:36 RAM 13771/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [7%@2201,7%@2201,100%@2201,0%@2201,100%@2201,0%@2201,0%@2201,8%@2201,0%@2201,8%@2201,15%@2201,100%@2201] EMC_FREQ 28%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@56.843C Tboard@42C SOC2@51.656C Tdiode@44.75C SOC0@51.968C CV1@-256C GPU@52.468C tj@56.843C SOC1@51.281C CV2@-256C VDD_GPU_SOC 6775mW/7891mW VDD_CPU_CV 5179mW/5418mW VIN_SYS_5V0 4954mW/5338mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1615mW/1897mW NC 0mW/0mW
10-04-2024 19:37:36 RAM 13945/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,0%@2201,100%@2201,0%@2201,100%@2201,0%@2201,0%@2201,0%@2201,7%@2201,0%@2201,0%@2201,100%@2201] EMC_FREQ 26%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@57.125C Tboard@42C SOC2@51.656C Tdiode@44.5C SOC0@51.812C CV1@-256C GPU@52.656C tj@57.125C SOC1@51.312C CV2@-256C VDD_GPU_SOC 6376mW/7638mW VDD_CPU_CV 5179mW/5378mW VIN_SYS_5V0 4752mW/5240mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1514mW/1833mW NC 0mW/0mW
10-04-2024 19:37:37 RAM 13960/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,0%@2201,100%@2201,15%@2201,100%@2201,0%@2201,7%@2201,7%@2201,7%@2201,8%@2201,0%@2201,100%@2201] EMC_FREQ 24%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@57.187C Tboard@42C SOC2@51.562C Tdiode@44.5C SOC0@51.812C CV1@-256C GPU@52.343C tj@56.906C SOC1@51.156C CV2@-256C VDD_GPU_SOC 5976mW/7401mW VDD_CPU_CV 5575mW/5406mW VIN_SYS_5V0 4752mW/5171mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1514mW/1788mW NC 0mW/0mW
10-04-2024 19:37:37 RAM 13963/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [16%@2201,0%@2201,75%@2201,0%@2038,100%@2201,0%@2201,7%@2201,0%@2201,0%@2201,0%@2201,0%@2201,100%@2201] EMC_FREQ 22%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@56.812C Tboard@42C SOC2@51.593C Tdiode@44.75C SOC0@51.75C CV1@-256C GPU@52.187C tj@56.812C SOC1@51.281C CV2@-256C VDD_GPU_SOC 5577mW/7173mW VDD_CPU_CV 5177mW/5377mW VIN_SYS_5V0 4752mW/5118mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1514mW/1753mW NC 0mW/0mW
10-04-2024 19:37:37 RAM 13964/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,100%@2201,0%@2201,7%@2201,8%@2201,0%@2201,0%@2201,0%@2201,100%@2201] EMC_FREQ 20%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@56.75C Tboard@42C SOC2@51.468C Tdiode@44.75C SOC0@51.75C CV1@-256C GPU@52.25C tj@56.75C SOC1@51.062C CV2@-256C VDD_GPU_SOC 5579mW/6995mW VDD_CPU_CV 4780mW/5311mW VIN_SYS_5V0 4752mW/5077mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1514mW/1727mW NC 0mW/0mW
10-04-2024 19:37:37 RAM 13965/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@729,7%@729,0%@729,13%@729,100%@2201,7%@2201,0%@2201,0%@2201,0%@2201,7%@2201,0%@2201,100%@2201] EMC_FREQ 19%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@56.468C Tboard@42C SOC2@51.281C Tdiode@44.5C SOC0@51.656C CV1@-256C GPU@51.906C tj@56.468C SOC1@51.187C CV2@-256C VDD_GPU_SOC 5577mW/6854mW VDD_CPU_CV 4778mW/5257mW VIN_SYS_5V0 4752mW/5045mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1514mW/1705mW NC 0mW/0mW
10-04-2024 19:37:37 RAM 13966/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [7%@729,0%@729,0%@729,0%@729,100%@2201,7%@2201,0%@2201,7%@2201,0%@2201,0%@2201,0%@2201,100%@2201] EMC_FREQ 17%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@56.625C Tboard@42C SOC2@51.437C Tdiode@44.5C SOC0@51.562C CV1@-256C GPU@52.187C tj@56.343C SOC1@51.187C CV2@-256C VDD_GPU_SOC 5579mW/6738mW VDD_CPU_CV 4380mW/5178mW VIN_SYS_5V0 4752mW/5018mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1514mW/1688mW NC 0mW/0mW
