10-04-2024 19:39:04 RAM 13955/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [7%@2201,0%@2201,100%@2201,0%@2201,7%@2201,7%@2201,100%@2201,7%@2201,7%@729,0%@729,0%@729,0%@729] EMC_FREQ 11%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@59.062C Tboard@45C SOC2@54.562C Tdiode@47.25C SOC0@54.875C CV1@-256C GPU@55.062C tj@59.062C SOC1@54.093C CV2@-256C VDD_GPU_SOC 5179mW/5777mW VDD_CPU_CV 3982mW/4114mW VIN_SYS_5V0 4651mW/4625mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1514mW/1413mW NC 0mW/0mW
10-04-2024 19:39:04 RAM 13956/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,7%@2201,100%@2201,0%@2201,0%@2201,0%@2201,100%@2201,14%@2201,0%@729,0%@729,0%@729,0%@729] EMC_FREQ 10%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@58.718C Tboard@45C SOC2@54.437C Tdiode@47.25C SOC0@54.687C CV1@-256C GPU@55.25C tj@58.718C SOC1@54.281C CV2@-256C VDD_GPU_SOC 5179mW/5731mW VDD_CPU_CV 3982mW/4104mW VIN_SYS_5V0 4752mW/4635mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1516mW/1420mW NC 0mW/0mW
10-04-2024 19:39:04 RAM 13965/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [8%@2201,0%@2201,50%@2201,0%@2201,0%@2201,7%@2201,100%@2201,0%@2201,0%@729,7%@729,23%@729,21%@729] EMC_FREQ 11%@3199 GR3D_FREQ 99%@1300 GR3D2_FREQ 82%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@59C Tboard@45C SOC2@54.656C Tdiode@47.25C SOC0@54.937C CV1@-256C GPU@56.218C tj@59C SOC1@54.093C CV2@-256C VDD_GPU_SOC 7168mW/5833mW VDD_CPU_CV 3980mW/4095mW VIN_SYS_5V0 5258mW/4679mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1820mW/1449mW NC 0mW/0mW
10-04-2024 19:39:04 RAM 13965/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [93%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,91%@2201] EMC_FREQ 16%@3199 GR3D_FREQ 99%@1298 GR3D2_FREQ 99%@1297 VIC_FREQ 729 APE 174 CV0@-256C CPU@63.343C Tboard@45C SOC2@55.656C Tdiode@48C SOC0@55.093C CV1@-256C GPU@58.906C tj@63.343C SOC1@54.25C CV2@-256C VDD_GPU_SOC 12723mW/6292mW VDD_CPU_CV 7948mW/4352mW VIN_SYS_5V0 7494mW/4867mW NC 0mW/0mW VDDQ_VDD2_1V8AO 3533mW/1588mW NC 0mW/0mW
10-04-2024 19:39:05 RAM 13965/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201] EMC_FREQ 22%@3199 GR3D_FREQ 99%@1297 GR3D2_FREQ 99%@1297 VIC_FREQ 729 APE 174 CV0@-256C CPU@64.5C Tboard@45C SOC2@56.25C Tdiode@48C SOC0@55.375C CV1@-256C GPU@59.718C tj@64.5C SOC1@54.093C CV2@-256C VDD_GPU_SOC 17103mW/6968mW VDD_CPU_CV 11530mW/4801mW VIN_SYS_5V0 9419mW/5152mW NC 0mW/0mW VDDQ_VDD2_1V8AO 4947mW/1798mW NC 0mW/0mW
10-04-2024 19:39:05 RAM 13965/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201] EMC_FREQ 28%@3199 GR3D_FREQ 99%@1297 GR3D2_FREQ 99%@1296 VIC_FREQ 729 APE 174 CV0@-256C CPU@64.625C Tboard@45C SOC2@56.468C Tdiode@48.5C SOC0@55.437C CV1@-256C GPU@59.937C tj@64.625C SOC1@54.187C CV2@-256C VDD_GPU_SOC 20691mW/7775mW VDD_CPU_CV 13921mW/5337mW VIN_SYS_5V0 10735mW/5480mW NC 0mW/0mW VDDQ_VDD2_1V8AO 5956mW/2042mW NC 0mW/0mW
10-04-2024 19:39:05 RAM 13965/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201] EMC_FREQ 34%@3199 GR3D_FREQ 99%@1296 GR3D2_FREQ 99%@1297 VIC_FREQ 729 APE 174 CV0@-256C CPU@64.718C Tboard@45C SOC2@56.812C Tdiode@48.5C SOC0@55.5C CV1@-256C GPU@60.375C tj@64.937C SOC1@54.312C CV2@-256C VDD_GPU_SOC 23477mW/8648mW VDD_CPU_CV 15518mW/5903mW VIN_SYS_5V0 11868mW/5835mW NC 0mW/0mW VDDQ_VDD2_1V8AO 6663mW/2299mW NC 0mW/0mW
10-04-2024 19:39:05 RAM 13965/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201] EMC_FREQ 38%@3199 GR3D_FREQ 99%@1297 GR3D2_FREQ 99%@1297 VIC_FREQ 729 APE 174 CV0@-256C CPU@65.125C Tboard@45C SOC2@56.875C Tdiode@49C SOC0@55.625C CV1@-256C GPU@60.125C tj@65.093C SOC1@54.281C CV2@-256C VDD_GPU_SOC 25079mW/9512mW VDD_CPU_CV 17110mW/6492mW VIN_SYS_5V0 12680mW/6195mW NC 0mW/0mW VDDQ_VDD2_1V8AO 7269mW/2561mW NC 0mW/0mW
10-04-2024 19:39:05 RAM 13965/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [100%@2201,100%@2201,100%@2201,100%@2035,91%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201] EMC_FREQ 43%@3199 GR3D_FREQ 99%@1297 GR3D2_FREQ 99%@1297 VIC_FREQ 729 APE 174 CV0@-256C CPU@64.843C Tboard@45C SOC2@57.125C Tdiode@49C SOC0@55.593C CV1@-256C GPU@60.656C tj@64.843C SOC1@54.375C CV2@-256C VDD_GPU_SOC 26682mW/10371mW VDD_CPU_CV 17913mW/7063mW VIN_SYS_5V0 13288mW/6550mW NC 0mW/0mW VDDQ_VDD2_1V8AO 7672mW/2816mW NC 0mW/0mW
10-04-2024 19:39:05 RAM 13965/30587MB (lfb 670x4MB) SWAP 0/15294MB (cached 0MB) CPU [100%@2201,100%@2201,100%@2201,100%@2201,83%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201,100%@2201] EMC_FREQ 46%@3199 GR3D_FREQ 99%@1297 GR3D2_FREQ 99%@1297 VIC_FREQ 729 APE 174 CV0@-256C CPU@65.468C Tboard@45C SOC2@57.218C Tdiode@49C SOC0@55.75C CV1@-256C GPU@60.843C tj@65.468C SOC1@54.343C CV2@-256C VDD_GPU_SOC 27478mW/11185mW VDD_CPU_CV 18709mW/7618mW VIN_SYS_5V0 13694mW/6890mW NC 0mW/0mW VDDQ_VDD2_1V8AO 7975mW/3062mW NC 0mW/0mW
