10-04-2024 19:32:26 RAM 11097/30587MB (lfb 680x4MB) SWAP 0/15294MB (cached 0MB) CPU [7%@729,7%@729,7%@729,8%@729,13%@2201,100%@2201,13%@2201,100%@2201,0%@2201,0%@2201,0%@2201,100%@2201] EMC_FREQ 43%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@58.187C Tboard@44C SOC2@53.062C Tdiode@46.5C SOC0@53.437C CV1@-256C GPU@54.031C tj@58.187C SOC1@52.468C CV2@-256C VDD_GPU_SOC 9569mW/9569mW VDD_CPU_CV 5181mW/5181mW VIN_SYS_5V0 5864mW/5864mW NC 0mW/0mW VDDQ_VDD2_1V8AO 2322mW/2322mW NC 0mW/0mW
10-04-2024 19:32:27 RAM 11814/30587MB (lfb 680x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@729,0%@729,8%@729,0%@729,0%@2201,100%@2201,0%@2201,100%@2201,7%@2201,0%@2201,7%@2201,100%@2201] EMC_FREQ 39%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@57.875C Tboard@44C SOC2@53.062C Tdiode@46C SOC0@53.343C CV1@-256C GPU@53.906C tj@57.875C SOC1@52.562C CV2@-256C VDD_GPU_SOC 8373mW/8971mW VDD_CPU_CV 5179mW/5180mW VIN_SYS_5V0 5561mW/5712mW NC 0mW/0mW VDDQ_VDD2_1V8AO 2019mW/2170mW NC 0mW/0mW
10-04-2024 19:32:27 RAM 12499/30587MB (lfb 680x4MB) SWAP 0/15294MB (cached 0MB) CPU [42%@2201,0%@2201,0%@2201,7%@2201,0%@2201,66%@2201,0%@2201,100%@2201,0%@2201,0%@2201,7%@2201,100%@2201] EMC_FREQ 36%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@57.843C Tboard@44C SOC2@53.156C Tdiode@46C SOC0@53.375C CV1@-256C GPU@54.25C tj@57.843C SOC1@52.468C CV2@-256C VDD_GPU_SOC 7572mW/8504mW VDD_CPU_CV 4780mW/5046mW VIN_SYS_5V0 5258mW/5561mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1817mW/2052mW NC 0mW/0mW
10-04-2024 19:32:27 RAM 13194/30587MB (lfb 680x4MB) SWAP 0/15294MB (cached 0MB) CPU [100%@2201,0%@2201,7%@2201,0%@2201,0%@2201,0%@2201,0%@2201,100%@2201,0%@2201,0%@2201,0%@2201,100%@2201] EMC_FREQ 33%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@57.531C Tboard@44C SOC2@53.187C Tdiode@46.25C SOC0@53.093C CV1@-256C GPU@53.875C tj@57.531C SOC1@52.593C CV2@-256C VDD_GPU_SOC 7174mW/8172mW VDD_CPU_CV 5179mW/5079mW VIN_SYS_5V0 5056mW/5434mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1716mW/1968mW NC 0mW/0mW
10-04-2024 19:32:27 RAM 13885/30587MB (lfb 680x4MB) SWAP 0/15294MB (cached 0MB) CPU [100%@2201,0%@2201,0%@2201,0%@2201,7%@2201,0%@2201,0%@2201,100%@2201,0%@2201,0%@2201,0%@2201,100%@2201] EMC_FREQ 30%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@57.781C Tboard@44C SOC2@53.031C Tdiode@46.25C SOC0@53.312C CV1@-256C GPU@54.031C tj@57.781C SOC1@52.437C CV2@-256C VDD_GPU_SOC 6376mW/7812mW VDD_CPU_CV 4780mW/5019mW VIN_SYS_5V0 4853mW/5318mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1615mW/1897mW NC 0mW/0mW
10-04-2024 19:32:27 RAM 13998/30587MB (lfb 680x4MB) SWAP 0/15294MB (cached 0MB) CPU [100%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,100%@2201,0%@2201,0%@2201,7%@2201,100%@2201] EMC_FREQ 27%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@57.437C Tboard@44C SOC2@53.218C Tdiode@45.75C SOC0@53.093C CV1@-256C GPU@53.625C tj@57.437C SOC1@52.562C CV2@-256C VDD_GPU_SOC 5978mW/7507mW VDD_CPU_CV 5179mW/5046mW VIN_SYS_5V0 4752mW/5224mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1514mW/1833mW NC 0mW/0mW
10-04-2024 19:32:27 RAM 14005/30587MB (lfb 680x4MB) SWAP 0/15294MB (cached 0MB) CPU [100%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,100%@2201,0%@2201,7%@2201,0%@2201,100%@2201] EMC_FREQ 25%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@57.781C Tboard@44C SOC2@53.125C Tdiode@45.75C SOC0@53.218C CV1@-256C GPU@53.437C tj@57.781C SOC1@52.406C CV2@-256C VDD_GPU_SOC 5978mW/7288mW VDD_CPU_CV 5179mW/5065mW VIN_SYS_5V0 4651mW/5142mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1413mW/1773mW NC 0mW/0mW
10-04-2024 19:32:27 RAM 14007/30587MB (lfb 680x4MB) SWAP 0/15294MB (cached 0MB) CPU [92%@2201,8%@729,7%@729,7%@729,14%@2201,0%@2201,7%@2201,100%@2201,7%@2201,14%@2201,0%@2201,100%@2201] EMC_FREQ 23%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@57.5C Tboard@44C SOC2@53.031C Tdiode@45.75C SOC0@53.093C CV1@-256C GPU@53.812C tj@57.5C SOC1@52.562C CV2@-256C VDD_GPU_SOC 5579mW/7074mW VDD_CPU_CV 5179mW/5079mW VIN_SYS_5V0 4651mW/5080mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1413mW/1728mW NC 0mW/0mW
10-04-2024 19:32:27 RAM 14010/30587MB (lfb 680x4MB) SWAP 0/15294MB (cached 0MB) CPU [7%@729,0%@729,15%@729,7%@729,0%@2201,7%@2201,14%@2201,100%@2201,0%@2201,100%@2201,13%@2201,100%@2201] EMC_FREQ 21%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@57.343C Tboard@44C SOC2@52.75C Tdiode@45.75C SOC0@53.062C CV1@-256C GPU@53.25C tj@57.343C SOC1@52.5C CV2@-256C VDD_GPU_SOC 5579mW/6908mW VDD_CPU_CV 5179mW/5090mW VIN_SYS_5V0 4752mW/5044mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1514mW/1704mW NC 0mW/0mW
10-04-2024 19:32:28 RAM 14011/30587MB (lfb 680x4MB) SWAP 0/15294MB (cached 0MB) CPU [9%@2201,7%@2201,7%@2201,0%@2201,7%@2201,0%@2201,0%@2201,100%@2201,0%@2201,91%@2201,0%@2201,100%@2201] EMC_FREQ 19%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@57.781C Tboard@44C SOC2@52.781C Tdiode@45.75C SOC0@53.187C CV1@-256C GPU@53.281C tj@57.781C SOC1@52.437C CV2@-256C VDD_GPU_SOC 5579mW/6775mW VDD_CPU_CV 5179mW/5099mW VIN_SYS_5V0 4752mW/5015mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1514mW/1685mW NC 0mW/0mW
10-04-2024 19:32:28 RAM 14013/30587MB (lfb 680x4MB) SWAP 0/15294MB (cached 0MB) CPU [100%@2201,0%@2201,8%@2201,0%@2201,0%@2201,0%@2201,7%@2388,100%@2201,0%@2201,7%@2201,0%@2201,100%@2201] EMC_FREQ 18%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@57.375C Tboard@44C SOC2@52.875C Tdiode@45.75C SOC0@53.093C CV1@-256C GPU@53.812C tj@57.375C SOC1@52.437C CV2@-256C VDD_GPU_SOC 5181mW/6630mW VDD_CPU_CV 5179mW/5106mW VIN_SYS_5V0 4752mW/4991mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1514mW/1670mW NC 0mW/0mW
