10-04-2024 19:33:05 RAM 14022/30587MB (lfb 680x4MB) SWAP 0/15294MB (cached 0MB) CPU [14%@729,0%@729,7%@729,0%@729,7%@2201,0%@2201,100%@2201,0%@2201,0%@2201,0%@2201,0%@2201,100%@2201] EMC_FREQ 16%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@57.218C Tboard@44C SOC2@52.875C Tdiode@45.75C SOC0@53.218C CV1@-256C GPU@53.187C tj@57.468C SOC1@52.843C CV2@-256C VDD_GPU_SOC 5179mW/6474mW VDD_CPU_CV 3982mW/3816mW VIN_SYS_5V0 4752mW/4920mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1514mW/1640mW NC 0mW/0mW
10-04-2024 19:33:05 RAM 14023/30587MB (lfb 680x4MB) SWAP 0/15294MB (cached 0MB) CPU [7%@729,7%@729,0%@729,0%@729,7%@2201,0%@2201,100%@2201,7%@2201,7%@2201,0%@2201,0%@2201,100%@2201] EMC_FREQ 14%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@57.406C Tboard@44C SOC2@52.843C Tdiode@46C SOC0@53.5C CV1@-256C GPU@53.312C tj@57.25C SOC1@52.625C CV2@-256C VDD_GPU_SOC 5179mW/6374mW VDD_CPU_CV 3982mW/3829mW VIN_SYS_5V0 4752mW/4907mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1514mW/1630mW NC 0mW/0mW
10-04-2024 19:33:05 RAM 14024/30587MB (lfb 680x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@1344,0%@1344,41%@1344,0%@1344,0%@2201,0%@2201,0%@2201,100%@2201] EMC_FREQ 16%@3199 GR3D_FREQ 99%@1298 GR3D2_FREQ 99%@1298 VIC_FREQ 729 APE 174 CV0@-256C CPU@57.218C Tboard@44C SOC2@53.156C Tdiode@46C SOC0@53.5C CV1@-256C GPU@56.156C tj@57.218C SOC1@52.531C CV2@-256C VDD_GPU_SOC 8754mW/6544mW VDD_CPU_CV 3579mW/3811mW VIN_SYS_5V0 6168mW/4997mW NC 0mW/0mW VDDQ_VDD2_1V8AO 2624mW/1701mW NC 0mW/0mW
10-04-2024 19:33:05 RAM 14024/30587MB (lfb 680x4MB) SWAP 0/15294MB (cached 0MB) CPU [7%@729,7%@729,7%@729,0%@729,0%@729,7%@729,0%@729,0%@729,0%@2201,0%@2201,7%@2201,100%@2201] EMC_FREQ 22%@3199 GR3D_FREQ 99%@1298 GR3D2_FREQ 99%@1298 VIC_FREQ 729 APE 174 CV0@-256C CPU@56.968C Tboard@44C SOC2@53.406C Tdiode@46.75C SOC0@53.937C CV1@-256C GPU@57.187C tj@57.187C SOC1@52.687C CV2@-256C VDD_GPU_SOC 14325mW/7063mW VDD_CPU_CV 3579mW/3795mW VIN_SYS_5V0 8406mW/5224mW NC 0mW/0mW VDDQ_VDD2_1V8AO 4240mW/1870mW NC 0mW/0mW
10-04-2024 19:33:05 RAM 14024/30587MB (lfb 680x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@729,7%@729,0%@729,0%@729,14%@729,0%@1018,0%@2201,0%@729,0%@2201,0%@2201,0%@2201,100%@2201] EMC_FREQ 28%@3199 GR3D_FREQ 99%@1298 GR3D2_FREQ 99%@1297 VIC_FREQ 729 APE 174 CV0@-256C CPU@57.531C Tboard@44C SOC2@53.625C Tdiode@46.75C SOC0@54.031C CV1@-256C GPU@58.062C tj@58.062C SOC1@52.625C CV2@-256C VDD_GPU_SOC 18304mW/7765mW VDD_CPU_CV 3183mW/3757mW VIN_SYS_5V0 10026mW/5524mW NC 0mW/0mW VDDQ_VDD2_1V8AO 5451mW/2094mW NC 0mW/0mW
10-04-2024 19:33:05 RAM 14024/30587MB (lfb 680x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@729,7%@729,7%@729,0%@729,0%@729,14%@729,0%@729,0%@729,14%@2201,0%@2201,7%@2201,100%@2201] EMC_FREQ 34%@3199 GR3D_FREQ 99%@1297 GR3D2_FREQ 99%@1298 VIC_FREQ 729 APE 174 CV0@-256C CPU@57.75C Tboard@44C SOC2@53.687C Tdiode@47.25C SOC0@54.125C CV1@-256C GPU@58.437C tj@58.437C SOC1@52.718C CV2@-256C VDD_GPU_SOC 21496mW/8573mW VDD_CPU_CV 3183mW/3723mW VIN_SYS_5V0 11259mW/5862mW NC 0mW/0mW VDDQ_VDD2_1V8AO 6360mW/2345mW NC 0mW/0mW
10-04-2024 19:33:05 RAM 14025/30587MB (lfb 680x4MB) SWAP 0/15294MB (cached 0MB) CPU [7%@729,7%@729,0%@729,0%@729,7%@729,21%@729,0%@729,7%@729,0%@2201,0%@2201,0%@2201,100%@2201] EMC_FREQ 38%@3199 GR3D_FREQ 99%@1297 GR3D2_FREQ 99%@1297 VIC_FREQ 729 APE 174 CV0@-256C CPU@57.718C Tboard@44C SOC2@53.968C Tdiode@47.25C SOC0@54.187C CV1@-256C GPU@58.312C tj@58.312C SOC1@52.687C CV2@-256C VDD_GPU_SOC 23894mW/9424mW VDD_CPU_CV 3184mW/3693mW VIN_SYS_5V0 12274mW/6218mW NC 0mW/0mW VDDQ_VDD2_1V8AO 7067mW/2607mW NC 0mW/0mW
10-04-2024 19:33:06 RAM 14025/30587MB (lfb 680x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@729,7%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@2201,0%@2201,0%@2201,100%@2201] EMC_FREQ 43%@3199 GR3D_FREQ 99%@1297 GR3D2_FREQ 99%@1297 VIC_FREQ 729 APE 174 CV0@-256C CPU@57.468C Tboard@44C SOC2@53.906C Tdiode@47.5C SOC0@54.093C CV1@-256C GPU@58.5C tj@58.5C SOC1@52.718C CV2@-256C VDD_GPU_SOC 25487mW/10270mW VDD_CPU_CV 3185mW/3666mW VIN_SYS_5V0 12984mW/6574mW NC 0mW/0mW VDDQ_VDD2_1V8AO 7471mW/2863mW NC 0mW/0mW
10-04-2024 19:33:06 RAM 14024/30587MB (lfb 680x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@729,0%@729,0%@729,7%@729,0%@729,7%@729,0%@729,0%@729,0%@2201,0%@2201,0%@2201,100%@2201] EMC_FREQ 47%@3199 GR3D_FREQ 99%@1298 GR3D2_FREQ 99%@1298 VIC_FREQ 729 APE 174 CV0@-256C CPU@57.656C Tboard@44C SOC2@53.968C Tdiode@47.5C SOC0@54.125C CV1@-256C GPU@58.812C tj@58.812C SOC1@52.843C CV2@-256C VDD_GPU_SOC 26682mW/11090mW VDD_CPU_CV 3185mW/3642mW VIN_SYS_5V0 13491mW/6920mW NC 0mW/0mW VDDQ_VDD2_1V8AO 7874mW/3114mW NC 0mW/0mW
10-04-2024 19:33:06 RAM 14024/30587MB (lfb 680x4MB) SWAP 0/15294MB (cached 0MB) CPU [7%@729,0%@729,0%@729,0%@729,0%@729,7%@729,7%@729,0%@729,0%@2332,0%@2201,0%@2201,100%@2201] EMC_FREQ 50%@3199 GR3D_FREQ 99%@1297 GR3D2_FREQ 99%@1297 VIC_FREQ 729 APE 174 CV0@-256C CPU@57.5C Tboard@44C SOC2@54.125C Tdiode@47.75C SOC0@54.437C CV1@-256C GPU@58.906C tj@58.906C SOC1@52.812C CV2@-256C VDD_GPU_SOC 27489mW/11871mW VDD_CPU_CV 3185mW/3621mW VIN_SYS_5V0 13795mW/7247mW NC 0mW/0mW VDDQ_VDD2_1V8AO 8177mW/3355mW NC 0mW/0mW
