10-04-2024 19:31:08 RAM 10516/30587MB (lfb 692x4MB) SWAP 0/15294MB (cached 0MB) CPU [8%@729,0%@729,0%@729,0%@729,7%@2201,0%@2201,7%@2201,100%@2201,100%@2201,100%@2201,0%@2201,8%@2201] EMC_FREQ 6%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@53.593C Tboard@40C SOC2@48.875C Tdiode@42.75C SOC0@49.562C CV1@-256C GPU@50.187C tj@53.593C SOC1@48.406C CV2@-256C VDD_GPU_SOC 12355mW/12355mW VDD_CPU_CV 4780mW/4780mW VIN_SYS_5V0 4954mW/4954mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1615mW/1615mW NC 0mW/0mW
10-04-2024 19:31:08 RAM 11231/30587MB (lfb 692x4MB) SWAP 0/15294MB (cached 0MB) CPU [54%@2201,0%@2201,0%@2201,0%@2201,0%@2201,7%@2201,0%@2201,100%@2201,46%@2201,100%@2201,7%@2054,7%@2201] EMC_FREQ 6%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@53.718C Tboard@40C SOC2@49.062C Tdiode@42.5C SOC0@49.343C CV1@-256C GPU@49.75C tj@53.718C SOC1@48.687C CV2@-256C VDD_GPU_SOC 10362mW/11358mW VDD_CPU_CV 4780mW/4780mW VIN_SYS_5V0 4853mW/4903mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1514mW/1564mW NC 0mW/0mW
10-04-2024 19:31:08 RAM 11952/30587MB (lfb 692x4MB) SWAP 0/15294MB (cached 0MB) CPU [100%@2201,0%@2201,0%@2201,0%@2201,7%@2201,0%@2201,0%@2201,100%@2201,7%@2201,100%@2201,0%@2201,8%@2201] EMC_FREQ 6%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@53.718C Tboard@40C SOC2@49.156C Tdiode@42.5C SOC0@49.437C CV1@-256C GPU@49.75C tj@53.718C SOC1@48.531C CV2@-256C VDD_GPU_SOC 9163mW/10626mW VDD_CPU_CV 4778mW/4779mW VIN_SYS_5V0 4752mW/4853mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1413mW/1514mW NC 0mW/0mW
10-04-2024 19:31:08 RAM 12668/30587MB (lfb 692x4MB) SWAP 0/15294MB (cached 0MB) CPU [100%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,7%@2201,100%@2201,0%@2201,100%@2201,0%@2201,7%@2201] EMC_FREQ 6%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@53.75C Tboard@40C SOC2@49.062C Tdiode@42.25C SOC0@49.343C CV1@-256C GPU@49.5C tj@53.75C SOC1@48.5C CV2@-256C VDD_GPU_SOC 7968mW/9962mW VDD_CPU_CV 4778mW/4779mW VIN_SYS_5V0 4651mW/4802mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1413mW/1488mW NC 0mW/0mW
10-04-2024 19:31:08 RAM 13385/30587MB (lfb 692x4MB) SWAP 0/15294MB (cached 0MB) CPU [100%@2201,0%@2201,0%@2201,0%@2201,0%@2201,7%@2201,0%@2201,100%@2201,0%@2201,100%@2201,0%@2201,0%@2201] EMC_FREQ 5%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@53.656C Tboard@40C SOC2@49.125C Tdiode@42.25C SOC0@49.406C CV1@-256C GPU@49.25C tj@53.656C SOC1@48.406C CV2@-256C VDD_GPU_SOC 7171mW/9403mW VDD_CPU_CV 4778mW/4778mW VIN_SYS_5V0 4550mW/4752mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1312mW/1453mW NC 0mW/0mW
10-04-2024 19:31:08 RAM 13443/30587MB (lfb 692x4MB) SWAP 0/15294MB (cached 0MB) CPU [100%@2201,0%@2201,0%@2201,0%@2201,14%@2201,7%@2201,7%@2201,100%@2201,7%@2201,100%@2201,0%@2201,7%@2201] EMC_FREQ 5%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@53.968C Tboard@40C SOC2@49.062C Tdiode@42.25C SOC0@49.343C CV1@-256C GPU@49.562C tj@53.968C SOC1@48.468C CV2@-256C VDD_GPU_SOC 6772mW/8965mW VDD_CPU_CV 5177mW/4845mW VIN_SYS_5V0 4449mW/4701mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1312mW/1429mW NC 0mW/0mW
10-04-2024 19:31:08 RAM 13454/30587MB (lfb 692x4MB) SWAP 0/15294MB (cached 0MB) CPU [100%@2201,14%@2201,7%@2201,0%@2201,0%@2201,0%@2201,0%@2201,100%@2201,7%@2201,100%@2201,23%@2201,0%@2201] EMC_FREQ 5%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@53.906C Tboard@40C SOC2@49C Tdiode@42.25C SOC0@49.125C CV1@51.062C GPU@49.625C tj@54.093C SOC1@48.406C CV2@46.406C VDD_GPU_SOC 6374mW/8595mW VDD_CPU_CV 5177mW/4892mW VIN_SYS_5V0 4449mW/4665mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1312mW/1413mW NC 0mW/0mW
10-04-2024 19:31:08 RAM 13455/30587MB (lfb 692x4MB) SWAP 0/15294MB (cached 0MB) CPU [100%@2201,58%@2201,0%@2201,7%@2201,8%@2201,7%@2346,0%@2201,100%@2201,0%@2201,100%@2201,7%@2201,0%@2201] EMC_FREQ 4%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@54.062C Tboard@40C SOC2@49.125C Tdiode@42C SOC0@49.156C CV1@51.031C GPU@49.062C tj@54.062C SOC1@48.5C CV2@46.375C VDD_GPU_SOC 5976mW/8267mW VDD_CPU_CV 5575mW/4977mW VIN_SYS_5V0 4550mW/4651mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1413mW/1413mW NC 0mW/0mW
10-04-2024 19:31:09 RAM 13456/30587MB (lfb 692x4MB) SWAP 0/15294MB (cached 0MB) CPU [100%@2201,100%@2201,7%@2201,0%@2201,7%@2201,7%@2201,0%@2201,100%@2201,0%@2201,100%@2201,0%@2201,8%@2201] EMC_FREQ 4%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@54.5C Tboard@40C SOC2@49.062C Tdiode@42C SOC0@49.218C CV1@-256C GPU@49.437C tj@54.5C SOC1@48.437C CV2@-256C VDD_GPU_SOC 5976mW/8013mW VDD_CPU_CV 5575mW/5044mW VIN_SYS_5V0 4651mW/4651mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1413mW/1413mW NC 0mW/0mW
10-04-2024 19:31:09 RAM 13456/30587MB (lfb 692x4MB) SWAP 0/15294MB (cached 0MB) CPU [100%@2201,91%@2201,0%@2201,0%@2201,0%@2201,7%@2201,0%@2201,100%@2201,7%@2201,100%@2201,0%@2201,0%@2201] EMC_FREQ 4%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@54C Tboard@40C SOC2@49.093C Tdiode@42C SOC0@49.25C CV1@-256C GPU@48.937C tj@54C SOC1@48.5C CV2@-256C VDD_GPU_SOC 5577mW/7769mW VDD_CPU_CV 5973mW/5137mW VIN_SYS_5V0 4651mW/4651mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1514mW/1423mW NC 0mW/0mW
10-04-2024 19:31:09 RAM 13457/30587MB (lfb 692x4MB) SWAP 0/15294MB (cached 0MB) CPU [100%@2201,23%@2201,0%@2201,0%@2201,0%@2201,0%@2201,0%@2201,100%@2201,0%@2201,100%@2201,0%@2201,0%@2201] EMC_FREQ 4%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@53.968C Tboard@40C SOC2@48.968C Tdiode@42C SOC0@49.312C CV1@-256C GPU@49.281C tj@53.968C SOC1@48.343C CV2@-256C VDD_GPU_SOC 5577mW/7570mW VDD_CPU_CV 5575mW/5176mW VIN_SYS_5V0 4752mW/4660mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1514mW/1431mW NC 0mW/0mW
