10-04-2024 19:31:46 RAM 10772/30587MB (lfb 680x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,15%@2201,21%@2201,100%@2201,7%@2201,8%@2201,33%@2201,100%@2201,23%@2067,26%@2201,18%@2201,100%@2201] EMC_FREQ 43%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@56.656C Tboard@42C SOC2@51.343C Tdiode@44.75C SOC0@51.718C CV1@-256C GPU@52.468C tj@56.406C SOC1@50.906C CV2@-256C VDD_GPU_SOC 9964mW/9964mW VDD_CPU_CV 4780mW/4780mW VIN_SYS_5V0 6168mW/6168mW NC 0mW/0mW VDDQ_VDD2_1V8AO 2322mW/2322mW NC 0mW/0mW
10-04-2024 19:31:46 RAM 11485/30587MB (lfb 680x4MB) SWAP 0/15294MB (cached 0MB) CPU [7%@2201,0%@2201,0%@2201,100%@2201,0%@2201,0%@2201,0%@2201,100%@2201,8%@2201,0%@2201,7%@2201,100%@2201] EMC_FREQ 39%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@56.125C Tboard@42C SOC2@51.25C Tdiode@44.5C SOC0@51.562C CV1@-256C GPU@52.187C tj@56.406C SOC1@50.75C CV2@-256C VDD_GPU_SOC 8768mW/9366mW VDD_CPU_CV 5179mW/4979mW VIN_SYS_5V0 5763mW/5965mW NC 0mW/0mW VDDQ_VDD2_1V8AO 2120mW/2221mW NC 0mW/0mW
10-04-2024 19:31:47 RAM 12208/30587MB (lfb 680x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,100%@2201,7%@2201,0%@2201,0%@2201,100%@2201,0%@2201,0%@2201,0%@2201,100%@2201] EMC_FREQ 35%@3199 GR3D_FREQ 0%@1295 GR3D2_FREQ 0%@1296 VIC_FREQ 729 APE 174 CV0@-256C CPU@56.093C Tboard@42C SOC2@51.25C Tdiode@44.5C SOC0@51.812C CV1@-256C GPU@52.093C tj@56.093C SOC1@50.875C CV2@-256C VDD_GPU_SOC 7971mW/8901mW VDD_CPU_CV 5179mW/5046mW VIN_SYS_5V0 5460mW/5797mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1918mW/2120mW NC 0mW/0mW
10-04-2024 19:31:47 RAM 12914/30587MB (lfb 680x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,100%@2201,0%@2201,0%@2201,0%@2201,100%@2201,0%@2201,0%@2201,0%@2201,100%@2201] EMC_FREQ 32%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@56.031C Tboard@42C SOC2@51.187C Tdiode@44.5C SOC0@51.5C CV1@-256C GPU@52.031C tj@56.343C SOC1@50.75C CV2@-256C VDD_GPU_SOC 7171mW/8468mW VDD_CPU_CV 5177mW/5078mW VIN_SYS_5V0 5157mW/5637mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1716mW/2019mW NC 0mW/0mW
10-04-2024 19:31:47 RAM 13624/30587MB (lfb 680x4MB) SWAP 0/15294MB (cached 0MB) CPU [8%@2201,0%@2201,0%@2201,100%@2201,7%@2201,0%@2201,0%@2201,100%@2201,0%@2201,7%@2201,7%@2201,100%@2201] EMC_FREQ 30%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@56.218C Tboard@42C SOC2@51.218C Tdiode@44.5C SOC0@51.75C CV1@-256C GPU@51.843C tj@55.968C SOC1@50.812C CV2@-256C VDD_GPU_SOC 6772mW/8129mW VDD_CPU_CV 4778mW/5018mW VIN_SYS_5V0 4954mW/5500mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1615mW/1938mW NC 0mW/0mW
10-04-2024 19:31:47 RAM 13695/30587MB (lfb 680x4MB) SWAP 0/15294MB (cached 0MB) CPU [7%@2201,0%@2201,7%@2201,100%@2201,0%@2201,0%@2201,0%@2201,100%@2201,14%@2201,8%@2201,7%@2201,100%@2201] EMC_FREQ 27%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@55.968C Tboard@42C SOC2@51.093C Tdiode@44.25C SOC0@51.5C CV1@-256C GPU@52.25C tj@55.968C SOC1@50.625C CV2@-256C VDD_GPU_SOC 6374mW/7836mW VDD_CPU_CV 5177mW/5045mW VIN_SYS_5V0 4752mW/5375mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1514mW/1867mW NC 0mW/0mW
10-04-2024 19:31:47 RAM 13701/30587MB (lfb 680x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,0%@2201,7%@2201,100%@2201,0%@2201,0%@2201,0%@2201,100%@2201,7%@2201,0%@2201,0%@2201,100%@2201] EMC_FREQ 25%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@55.781C Tboard@42C SOC2@51C Tdiode@44.25C SOC0@51.531C CV1@-256C GPU@51.656C tj@55.781C SOC1@50.843C CV2@-256C VDD_GPU_SOC 5976mW/7570mW VDD_CPU_CV 5177mW/5063mW VIN_SYS_5V0 4651mW/5272mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1413mW/1802mW NC 0mW/0mW
10-04-2024 19:31:47 RAM 13702/30587MB (lfb 680x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,100%@2201,0%@2201,0%@2201,0%@2201,100%@2201,0%@2201,0%@2201,0%@2201,100%@2201] EMC_FREQ 23%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@55.968C Tboard@42C SOC2@51.031C Tdiode@44.25C SOC0@51.5C CV1@-256C GPU@51.968C tj@55.968C SOC1@50.718C CV2@-256C VDD_GPU_SOC 5577mW/7321mW VDD_CPU_CV 5177mW/5078mW VIN_SYS_5V0 4752mW/5207mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1514mW/1766mW NC 0mW/0mW
10-04-2024 19:31:47 RAM 13706/30587MB (lfb 680x4MB) SWAP 0/15294MB (cached 0MB) CPU [15%@2201,7%@2201,0%@2020,100%@2201,8%@2201,0%@2201,15%@2072,100%@2201,14%@2201,15%@2201,8%@2201,100%@2201] EMC_FREQ 21%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@56C Tboard@42C SOC2@51.125C Tdiode@44.25C SOC0@51.312C CV1@53.156C GPU@52.156C tj@56.156C SOC1@50.875C CV2@48.625C VDD_GPU_SOC 5577mW/7127mW VDD_CPU_CV 5177mW/5089mW VIN_SYS_5V0 4752mW/5156mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1514mW/1738mW NC 0mW/0mW
10-04-2024 19:31:47 RAM 13706/30587MB (lfb 680x4MB) SWAP 0/15294MB (cached 0MB) CPU [7%@2201,0%@2201,0%@2201,100%@2201,0%@2201,0%@2201,0%@2201,100%@2201,7%@2201,8%@2201,7%@2201,100%@2201] EMC_FREQ 19%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@55.906C Tboard@42C SOC2@50.937C Tdiode@44.25C SOC0@51.468C CV1@52.875C GPU@51.593C tj@55.625C SOC1@50.625C CV2@48.625C VDD_GPU_SOC 5577mW/6972mW VDD_CPU_CV 5177mW/5097mW VIN_SYS_5V0 4752mW/5116mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1514mW/1716mW NC 0mW/0mW
10-04-2024 19:31:48 RAM 13707/30587MB (lfb 680x4MB) SWAP 0/15294MB (cached 0MB) CPU [0%@2201,7%@2201,0%@2201,100%@2201,7%@2201,0%@2201,0%@2201,100%@2201,7%@2201,0%@2201,0%@2201,100%@2201] EMC_FREQ 18%@3199 GR3D_FREQ 0%@1300 GR3D2_FREQ 0%@1300 VIC_FREQ 729 APE 174 CV0@-256C CPU@55.968C Tboard@42C SOC2@50.937C Tdiode@44.25C SOC0@51.406C CV1@-256C GPU@51.687C tj@55.968C SOC1@50.625C CV2@-256C VDD_GPU_SOC 5577mW/6845mW VDD_CPU_CV 5177mW/5105mW VIN_SYS_5V0 4752mW/5083mW NC 0mW/0mW VDDQ_VDD2_1V8AO 1514mW/1697mW NC 0mW/0mW
