10-04-2024 17:51:29 RAM 9090/30587MB (lfb 699x4MB) SWAP 0/15294MB (cached 0MB) CPU [7%@729,5%@729,3%@729,3%@729,2%@2201,3%@2201,0%@2201,100%@2201,2%@729,1%@729,2%@729,1%@729] EMC_FREQ 0% GR3D_FREQ 0% CV0@-256C CPU@48.187C Tboard@36C SOC2@43.968C Tdiode@37.25C SOC0@44.718C CV1@-256C GPU@-256C tj@48.187C SOC1@43.812C CV2@-256C
10-04-2024 17:51:30 RAM 9093/30587MB (lfb 699x4MB) SWAP 0/15294MB (cached 0MB) CPU [5%@729,3%@729,5%@729,2%@729,2%@2201,2%@2201,0%@2201,100%@2201,1%@729,1%@729,3%@729,1%@729] EMC_FREQ 0% GR3D_FREQ 0% CV0@-256C CPU@47.968C Tboard@36C SOC2@44C Tdiode@37.25C SOC0@44.75C CV1@-256C GPU@-256C tj@47.75C SOC1@43.906C CV2@-256C
10-04-2024 17:51:31 RAM 9099/30587MB (lfb 699x4MB) SWAP 0/15294MB (cached 0MB) CPU [6%@729,4%@729,4%@729,6%@729,2%@2201,2%@2201,0%@2201,100%@2201,2%@1267,0%@1267,2%@1267,1%@1267] EMC_FREQ 0% GR3D_FREQ 0% CV0@-256C CPU@47.906C Tboard@36C SOC2@43.937C Tdiode@37.25C SOC0@44.656C CV1@-256C GPU@-256C tj@47.906C SOC1@43.968C CV2@-256C
10-04-2024 17:51:32 RAM 9105/30587MB (lfb 699x4MB) SWAP 0/15294MB (cached 0MB) CPU [6%@729,4%@729,6%@729,2%@729,2%@2201,2%@2201,0%@2201,100%@2201,2%@729,1%@729,1%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 0% CV0@-256C CPU@47.906C Tboard@36C SOC2@44C Tdiode@37.5C SOC0@44.718C CV1@-256C GPU@-256C tj@47.906C SOC1@43.968C CV2@-256C
10-04-2024 17:51:33 RAM 9117/30587MB (lfb 699x4MB) SWAP 0/15294MB (cached 0MB) CPU [3%@729,2%@729,5%@729,0%@729,2%@2201,3%@2201,1%@2201,100%@2201,0%@729,2%@729,1%@729,1%@729] EMC_FREQ 0% GR3D_FREQ 0% CV0@-256C CPU@47.75C Tboard@36C SOC2@43.968C Tdiode@37.5C SOC0@44.718C CV1@-256C GPU@-256C tj@47.75C SOC1@44C CV2@-256C
10-04-2024 17:51:34 RAM 9122/30587MB (lfb 699x4MB) SWAP 0/15294MB (cached 0MB) CPU [6%@729,1%@729,1%@729,4%@729,2%@2201,4%@2201,3%@2201,100%@2201,1%@729,1%@729,1%@729,1%@729] EMC_FREQ 0% GR3D_FREQ 0% CV0@-256C CPU@47.875C Tboard@36C SOC2@44C Tdiode@37.25C SOC0@44.406C CV1@-256C GPU@-256C tj@47.875C SOC1@43.937C CV2@-256C
10-04-2024 17:51:35 RAM 9128/30587MB (lfb 699x4MB) SWAP 0/15294MB (cached 0MB) CPU [7%@729,1%@729,0%@729,1%@729,2%@2201,3%@2201,1%@2201,100%@2201,1%@729,5%@729,1%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 0% CV0@-256C CPU@47.812C Tboard@36C SOC2@43.968C Tdiode@37.5C SOC0@44.5C CV1@-256C GPU@-256C tj@47.812C SOC1@44C CV2@-256C
10-04-2024 17:51:36 RAM 9136/30587MB (lfb 699x4MB) SWAP 0/15294MB (cached 0MB) CPU [4%@2201,1%@2201,1%@2201,2%@2201,3%@2201,3%@2201,3%@2201,100%@2201,4%@2201,6%@2201,2%@2201,0%@2201] EMC_FREQ 0% GR3D_FREQ 0% CV0@-256C CPU@48.281C Tboard@36C SOC2@43.906C Tdiode@37.25C SOC0@44.562C CV1@-256C GPU@-256C tj@48.281C SOC1@43.968C CV2@-256C
10-04-2024 17:51:37 RAM 9181/30587MB (lfb 688x4MB) SWAP 0/15294MB (cached 0MB) CPU [7%@2201,1%@2201,1%@2201,2%@2201,1%@2201,3%@2201,1%@2201,100%@2201,2%@2201,1%@2201,6%@2201,1%@2201] EMC_FREQ 0% GR3D_FREQ 0% CV0@-256C CPU@47.781C Tboard@36C SOC2@43.968C Tdiode@37.25C SOC0@44.5C CV1@-256C GPU@-256C tj@47.781C SOC1@44.031C CV2@-256C
10-04-2024 17:51:38 RAM 9186/30587MB (lfb 688x4MB) SWAP 0/15294MB (cached 0MB) CPU [5%@729,5%@729,3%@729,2%@729,1%@2201,3%@2201,0%@2201,100%@2201,2%@729,1%@729,7%@729,1%@729] EMC_FREQ 0% GR3D_FREQ 0% CV0@-256C CPU@47.781C Tboard@36C SOC2@43.968C Tdiode@37.25C SOC0@44.593C CV1@-256C GPU@-256C tj@48.031C SOC1@44C CV2@-256C
10-04-2024 17:51:39 RAM 9192/30587MB (lfb 688x4MB) SWAP 0/15294MB (cached 0MB) CPU [5%@729,4%@729,1%@729,3%@729,1%@2201,3%@2201,0%@2201,100%@2201,1%@729,2%@729,5%@729,2%@729] EMC_FREQ 0% GR3D_FREQ 0% CV0@-256C CPU@47.843C Tboard@36C SOC2@43.968C Tdiode@37.25C SOC0@44.5C CV1@-256C GPU@-256C tj@47.843C SOC1@43.843C CV2@-256C
10-04-2024 17:51:40 RAM 9197/30587MB (lfb 688x4MB) SWAP 0/15294MB (cached 0MB) CPU [9%@729,6%@729,2%@729,2%@729,2%@2201,2%@2201,0%@2201,100%@2201,2%@729,1%@729,0%@729,1%@729] EMC_FREQ 0% GR3D_FREQ 0% CV0@-256C CPU@47.781C Tboard@36C SOC2@43.937C Tdiode@37.25C SOC0@44.593C CV1@-256C GPU@-256C tj@47.968C SOC1@44.125C CV2@-256C
10-04-2024 17:51:41 RAM 9203/30587MB (lfb 688x4MB) SWAP 0/15294MB (cached 0MB) CPU [8%@1267,6%@1267,3%@1267,5%@1267,3%@2201,3%@2201,0%@2201,100%@2201,1%@1574,2%@1574,0%@1574,1%@1574] EMC_FREQ 0% GR3D_FREQ 0% CV0@-256C CPU@48C Tboard@36C SOC2@44C Tdiode@37.25C SOC0@44.531C CV1@-256C GPU@-256C tj@48C SOC1@43.843C CV2@-256C
10-04-2024 17:51:42 RAM 9210/30587MB (lfb 688x4MB) SWAP 0/15294MB (cached 0MB) CPU [6%@729,9%@729,4%@729,2%@729,2%@2201,3%@2201,0%@2201,100%@2201,3%@729,3%@729,1%@729,1%@729] EMC_FREQ 0% GR3D_FREQ 0% CV0@-256C CPU@47.875C Tboard@36C SOC2@44C Tdiode@37.5C SOC0@44.625C CV1@-256C GPU@-256C tj@48.25C SOC1@43.875C CV2@-256C
10-04-2024 17:51:43 RAM 9218/30587MB (lfb 688x4MB) SWAP 0/15294MB (cached 0MB) CPU [4%@729,7%@729,9%@729,3%@729,5%@2201,3%@2201,0%@2201,100%@2201,2%@729,0%@729,2%@729,0%@729] EMC_FREQ 0% GR3D_FREQ 0% CV0@-256C CPU@48.031C Tboard@36C SOC2@43.906C Tdiode@37.5C SOC0@44.625C CV1@-256C GPU@-256C tj@48.031C SOC1@43.843C CV2@-256C
10-04-2024 17:51:44 RAM 9226/30587MB (lfb 688x4MB) SWAP 0/15294MB (cached 0MB) CPU [5%@729,1%@729,4%@729,8%@729,1%@2201,3%@2201,0%@2201,100%@2201,2%@729,3%@729,1%@729,1%@729] EMC_FREQ 0% GR3D_FREQ 0% CV0@-256C CPU@47.875C Tboard@36C SOC2@43.937C Tdiode@37.5C SOC0@44.5C CV1@-256C GPU@-256C tj@48.343C SOC1@43.875C CV2@-256C
